Start Timestamp,End Timestamp,Dialogue
"00:18:47,587","00:18:48,587",A lot. - Yeah.
"00:18:48,787","00:18:50,438","We're helping them finance houses,"
"00:18:50,638","00:18:52,301",we are helping them buy their wife a diamond ring..
"00:18:52,501","00:18:53,501",A boat..maybe.
"00:18:53,701","00:18:57,486",Is this stuff regulated or you guys what're you doing here?
"00:18:58,904","00:19:02,493",ehhh..sort of.. - sort of?
"00:19:05,240","00:19:07,384",Jesus Christ! The spread on these is huge.
"00:19:07,584","00:19:09,546",Yeah and that’s the point. What's your name again?
"00:19:09,984","00:19:10,984",Jordan Belfort.
"00:19:11,184","00:19:12,184","Jordan, what did you get on that Blue chip Stock?"
"00:19:13,010","00:19:13,990",I make one percent.
"00:19:14,190","00:19:16,253","Or, I did make one percent."
"00:19:16,453","00:19:17,453",Pink sheets it's fifty.
"00:19:17,653","00:19:18,653",It's fifty percent?
"00:19:22,920","00:19:23,800",It's fifty percent commission?
"00:19:24,000","00:19:25,000",Yup.
"00:19:25,200","00:19:26,200",For what?
"00:19:26,400","00:19:28,832",It's our mark up for our services.
"00:19:29,870","00:19:33,324","So, if I..if I sell a stock at ten thousand dollars."
"00:19:33,524","00:19:35,560",My commission is five thousand bucks?
"00:19:35,760","00:19:38,031","If you sell ten thousand dollars worth of this stock,"
"00:19:38,231","00:19:40,547",I'll personally give you a blowjob for free.
"00:19:42,506","00:19:44,481","And, I hope it happens."
"00:19:46,009","00:19:47,520","Hello, John. How're you doing today?"
"00:19:47,720","00:19:50,539","You mailed in my company a postcard, a few weeks back."
"00:19:50,739","00:19:53,306","Requesting, information on penny stocks that had huge.."
"00:19:53,506","00:19:56,310",upside potential with very little downside risk.
"00:19:56,510","00:19:58,077","Does that ring a bell? <i>- Oh, yeah. I may've sent you.</i>"
"00:19:58,277","00:20:00,798","Okay great. Well, the reason for the call today John is."
"00:20:00,998","00:20:04,236",Something just came across my desk John.
"00:20:04,436","00:20:07,192","It is perhaps the best, i've seen in the last six months."
"00:20:07,392","00:20:08,392","If you've sixty seconds,"
"00:20:08,592","00:20:10,437",I'd like to share this with you. You got a minute?
"00:20:10,637","00:20:13,907","The name of the company, Aerotyne International.."
"00:20:14,107","00:20:17,105","It is a cutting edge tech firm out of the Midwest,"
"00:20:17,305","00:20:19,587","awaiting imminent patent approval,"
"00:20:19,787","00:20:23,484","on a new generation of radar detectors that have both huge military,"
"00:20:23,684","00:20:25,425",and civilian applications.
"00:20:25,625","00:20:26,625",Now.
